Line Text,Bounding Box
5:32,"[{'x': 135, 'y': 55}, {'x': 245, 'y': 54}, {'x': 242, 'y': 98}, {'x': 135, 'y': 98}]"
237,"[{'x': 110, 'y': 210}, {'x': 168, 'y': 212}, {'x': 168, 'y': 239}, {'x': 110, 'y': 241}]"
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]"
Text Message . RCS,"[{'x': 424, 'y': 428}, {'x': 747, 'y': 428}, {'x': 747, 'y': 461}, {'x': 424, 'y': 461}]"
"Wed, Oct 9 at 8:08 AM","[{'x': 401, 'y': 465}, {'x': 767, 'y': 466}, {'x': 767, 'y': 499}, {'x': 401, 'y': 499}]"
ACCELERATE YOUR INVESTMENTS,"[{'x': 149, 'y': 561}, {'x': 845, 'y': 562}, {'x': 845, 'y': 603}, {'x': 149, 'y': 602}]"
WITH CHARLES SCHWAB'S AI,"[{'x': 80, 'y': 614}, {'x': 675, 'y': 613}, {'x': 675, 'y': 652}, {'x': 80, 'y': 652}]"
"Achieve 350% growth in STOCKS,","[{'x': 81, 'y': 663}, {'x': 744, 'y': 663}, {'x': 744, 'y': 708}, {'x': 81, 'y': 707}]"
"CRYPTO, and REAL ESTATE!","[{'x': 83, 'y': 716}, {'x': 633, 'y': 715}, {'x': 633, 'y': 758}, {'x': 83, 'y': 758}]"
Claim your FREE $14K AI TOOL and,"[{'x': 81, 'y': 766}, {'x': 768, 'y': 765}, {'x': 768, 'y': 809}, {'x': 81, 'y': 810}]"
$19K INSIDER STOCK TIP today!,"[{'x': 83, 'y': 816}, {'x': 712, 'y': 817}, {'x': 712, 'y': 860}, {'x': 83, 'y': 858}]"
LIMITED SPOTS AVAILABLE!,"[{'x': 83, 'y': 868}, {'x': 635, 'y': 867}, {'x': 635, 'y': 908}, {'x': 83, 'y': 910}]"
https://cutt.ly/BePc6cVn?,"[{'x': 83, 'y': 971}, {'x': 573, 'y': 969}, {'x': 573, 'y': 1013}, {'x': 83, 'y': 1015}]"
dvA8sc=n5A2Fr,"[{'x': 83, 'y': 1021}, {'x': 398, 'y': 1021}, {'x': 398, 'y': 1063}, {'x': 83, 'y': 1063}]"
The sender is not in your contact list.,"[{'x': 280, 'y': 1155}, {'x': 883, 'y': 1155}, {'x': 883, 'y': 1192}, {'x': 280, 'y': 1193}]"
Report Junk,"[{'x': 482, 'y': 1213}, {'x': 684, 'y': 1213}, {'x': 684, 'y': 1247}, {'x': 482, 'y': 1247}]"
+,"[{'x': 68, 'y': 2328}, {'x': 116, 'y': 2328}, {'x': 116, 'y': 2374}, {'x': 68, 'y': 2374}]"
Text Message . SMS,"[{'x': 215, 'y': 2326}, {'x': 618, 'y': 2326}, {'x': 618, 'y': 2374}, {'x': 215, 'y': 2374}]"
