Line Text,Bounding Box,Word Text,Word Bounding Polygon,Confidence
5:32,"[{'x': 135, 'y': 55}, {'x': 245, 'y': 54}, {'x': 242, 'y': 98}, {'x': 135, 'y': 98}]",5:32,"[{'x': 135, 'y': 54}, {'x': 243, 'y': 54}, {'x': 243, 'y': 98}, {'x': 135, 'y': 98}]",0.9890
237,"[{'x': 110, 'y': 210}, {'x': 168, 'y': 212}, {'x': 168, 'y': 239}, {'x': 110, 'y': 241}]",237,"[{'x': 110, 'y': 210}, {'x': 168, 'y': 210}, {'x': 168, 'y': 241}, {'x': 110, 'y': 241}]",0.9940
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",+212,"[{'x': 419, 'y': 325}, {'x': 492, 'y': 326}, {'x': 494, 'y': 357}, {'x': 420, 'y': 357}]",0.9900
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",6,"[{'x': 503, 'y': 326}, {'x': 518, 'y': 326}, {'x': 519, 'y': 356}, {'x': 504, 'y': 356}]",0.9970
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",15,"[{'x': 536, 'y': 326}, {'x': 566, 'y': 326}, {'x': 568, 'y': 356}, {'x': 537, 'y': 356}]",0.9970
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",06,"[{'x': 581, 'y': 326}, {'x': 617, 'y': 326}, {'x': 618, 'y': 355}, {'x': 582, 'y': 356}]",0.9880
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",82,"[{'x': 633, 'y': 326}, {'x': 672, 'y': 326}, {'x': 673, 'y': 355}, {'x': 635, 'y': 355}]",0.9980
+212 6 15 06 82 58,"[{'x': 416, 'y': 325}, {'x': 730, 'y': 325}, {'x': 730, 'y': 355}, {'x': 416, 'y': 356}]",58,"[{'x': 684, 'y': 326}, {'x': 720, 'y': 326}, {'x': 722, 'y': 354}, {'x': 685, 'y': 354}]",0.9980
Text Message . RCS,"[{'x': 424, 'y': 428}, {'x': 747, 'y': 428}, {'x': 747, 'y': 461}, {'x': 424, 'y': 461}]",Text,"[{'x': 426, 'y': 430}, {'x': 493, 'y': 430}, {'x': 493, 'y': 461}, {'x': 426, 'y': 461}]",0.9910
Text Message . RCS,"[{'x': 424, 'y': 428}, {'x': 747, 'y': 428}, {'x': 747, 'y': 461}, {'x': 424, 'y': 461}]",Message,"[{'x': 499, 'y': 430}, {'x': 639, 'y': 429}, {'x': 639, 'y': 462}, {'x': 499, 'y': 461}]",0.9960
Text Message . RCS,"[{'x': 424, 'y': 428}, {'x': 747, 'y': 428}, {'x': 747, 'y': 461}, {'x': 424, 'y': 461}]",.,"[{'x': 652, 'y': 429}, {'x': 669, 'y': 429}, {'x': 669, 'y': 462}, {'x': 652, 'y': 462}]",0.7530
Text Message . RCS,"[{'x': 424, 'y': 428}, {'x': 747, 'y': 428}, {'x': 747, 'y': 461}, {'x': 424, 'y': 461}]",RCS,"[{'x': 678, 'y': 429}, {'x': 741, 'y': 428}, {'x': 741, 'y': 462}, {'x': 678, 'y': 462}]",0.9980
